Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;NetworksNaiv;5;564;139;2.143014800254095;5488;3.7394141026986953;SATISFIABLE;
Queensproblem;NetworksNaiv;10;321;1316;3.1192558892779365;80278;4.904596544186854;SATISFIABLE;
Queensproblem;NetworksNaiv;15;1295;8435;3.926085086925144;390618;5.591752252061302;SATISFIABLE;
Queensproblem;NetworksNaiv;20;3651;51171;4.709023904176306;1207758;6.081979922866774;SATISFIABLE;
Queensproblem;NetworksNaiv;25;13002;82084;4.914258511700491;2907948;6.463586636191479;SATISFIABLE;
Queensproblem;NetworksNaiv;30;19225;226596;5.355252239184659;5972438;6.776151650025492;SATISFIABLE;
Queensproblem;NetworksNaiv;35;45279;456828;5.659752714924354;10987478;7.040898018503838;SATISFIABLE;
Queensproblem;NetworksNaiv;40;75519;10514995;7.021809070510412;18644318;7.270546501708921;SATISFIABLE;
Queensproblem;NetworksNaiv;45;136818;TIMEOUT;na;29739208;7.473329398422327;TIMEOUT;
