Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
Queensproblem;NiklasseBDDs;5;35;105;2.0211892990699383;1752;3.243534101832062;SATISFIABLE;
Queensproblem;NiklasseBDDs;10;103;574;2.7589118923979736;11212;4.049683089088249;SATISFIABLE;
Queensproblem;NiklasseBDDs;15;818;13370;4.126131407261984;34372;4.536204803120439;SATISFIABLE;
Queensproblem;NiklasseBDDs;20;500;60575;4.782293422809544;77232;4.887797281474617;SATISFIABLE;
Queensproblem;NiklasseBDDs;25;727;473409;5.675236510063666;145792;5.163733693726969;SATISFIABLE;
