Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
DigiTomo_Cats;KnuthBailleux; 0.2;26;64;1.806179973983887;426;2.629409599102719;SATISFIABLE;
DigiTomo_Cats;KnuthBailleux; 0.4;44;73;1.863322860120456;3403;3.531861949095809;SATISFIABLE;
DigiTomo_Cats;KnuthBailleux; 0.6;120;206;2.3138672203691533;10812;4.0339060370266875;SATISFIABLE;
DigiTomo_Cats;KnuthBailleux; 0.8;215;94790;4.97676252326746;25538;4.40718688263082;SATISFIABLE;
DigiTomo_Cats;KnuthBailleux; 1.0;412;7667;3.8846254632562345;48844;4.688811222570019;SATISFIABLE;
DigiTomo_Cats;KnuthBailleux; 1.2;471;1420600;6.152471810336036;79666;4.901273011949822;SATISFIABLE;
