Problem;Kodierung;k;middletime;endtime;logendtime;numClauses;lognumClauses;status
DigiTomo_Cats;KnuthSinz; 0.2;40;712;2.8524799936368566;326;2.513217600067939;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.4;59;292;2.4653828514484184;2612;3.4169731726030363;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.6;102;244;2.387389826338729;8613;3.9351544472161684;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 0.8;215;53760;4.730459260045769;22133;4.345040284019556;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 1.0;336;1286;3.109240968588203;47163;4.673601422419811;SATISFIABLE;
DigiTomo_Cats;KnuthSinz; 1.2;527;502201;5.700877573159957;80008;4.903133414268806;SATISFIABLE;
